date,y_true,y_pred
2011-11-01,0.0,0.081375115
2011-12-01,0.0,0.081375115
2012-01-01,0.0,0.081375115
2012-02-01,0.0,0.081375115
2012-03-01,0.0,0.081375115
2012-04-01,0.0,0.081846446
2012-05-01,0.0,0.081375115
2012-06-01,0.0,0.081375115
2012-07-01,0.0,0.08264205
2012-08-01,0.0,0.081375115
2012-09-01,0.0,0.081375115
2012-10-01,0.0,0.081375115
2012-11-01,0.0,0.081375115
2012-12-01,0.0,0.081375115
2013-01-01,0.0,0.081375115
2013-02-01,0.0,0.081375115
2013-03-01,0.0,0.081375115
2013-04-01,0.0,0.081846446
2013-05-01,0.0,0.081375115
2013-06-01,0.0,0.081375115
2013-07-01,0.0,0.08264205
2013-08-01,0.0,0.081375115
2013-09-01,0.0,0.081375115
2013-10-01,0.0,0.081375115
2013-11-01,0.0,0.081375115
2013-12-01,0.0,0.081375115
2014-01-01,0.0,0.081375115
2014-02-01,0.0,0.081375115
2014-03-01,0.0,0.081375115
2014-04-01,0.0,0.081846446
2014-05-01,0.0,0.081375115
2014-06-01,0.0,0.081375115
2014-07-01,6.279434850863422,0.39595088
2014-08-01,0.0,0.081375115
2014-09-01,0.0,0.081375115
2014-10-01,0.0,0.081375115
2014-11-01,0.0,0.081375115
2014-12-01,0.0,0.081375115
2015-01-01,0.0,0.081375115
2015-02-01,0.0,0.081375115
2015-03-01,0.0,0.081375115
2015-04-01,0.0,0.081846446
2015-05-01,0.0,0.081375115
2015-06-01,0.0,0.081375115
2015-07-01,6.265664160401003,0.5461773
2015-08-01,0.0,0.081375115
2015-09-01,0.0,0.081375115
2015-10-01,0.0,0.081375115
2015-11-01,0.0,0.081375115
2015-12-01,6.265664160401003,0.39503926
2016-01-01,0.0,0.081375115
2016-02-01,0.0,0.081375115
2016-03-01,0.0,0.081375115
2016-04-01,0.0,0.081846446
2016-05-01,0.0,0.081375115
2016-06-01,0.0,0.081375115
2016-07-01,0.0,0.08264205
2016-08-01,0.0,0.081375115
2016-09-01,0.0,0.081375115
2016-10-01,0.0,0.081375115
2016-11-01,0.0,0.081375115
2016-12-01,0.0,0.081375115
2017-01-01,0.0,0.08154553
2017-02-01,0.0,0.08154553
2017-03-01,0.0,0.08154553
2017-04-01,6.239081607187423,0.5445656
2017-05-01,0.0,0.081375115
2017-06-01,0.0,0.081375115
2017-07-01,0.0,0.081375115
2017-08-01,0.0,0.081375115
2017-09-01,0.0,0.081375115
2017-10-01,0.0,0.081375115
2017-11-01,0.0,0.081375115
2017-12-01,0.0,0.081375115
2018-01-01,0.0,0.081375115
2018-02-01,0.0,0.081375115
2018-03-01,0.0,0.081375115
2018-04-01,0.0,0.081846446
2018-05-01,0.0,0.081375115
2018-06-01,0.0,0.081375115
2018-07-01,0.0,0.08264205
2018-08-01,0.0,0.081375115
2018-09-01,0.0,0.081375115
2018-10-01,0.0,0.08154553
2018-11-01,0.0,0.08154553
2018-12-01,0.0,0.08154553
2019-01-01,0.0,0.08154553
2019-02-01,0.0,0.08154553
2019-03-01,0.0,0.08154553
2019-04-01,0.0,0.08605316
2019-05-01,0.0,0.08154553
2019-06-01,0.0,0.08154553
2019-07-01,0.0,0.08154553
2019-08-01,0.0,0.08154553
2019-09-01,0.0,0.08154553
2019-10-01,0.0,0.08154553
2019-11-01,0.0,0.08154553
2019-12-01,0.0,0.08154553
2020-01-01,0.0,0.08154553
2020-02-01,0.0,0.08154553
2020-03-01,0.0,0.08154553
2020-04-01,0.0,0.08605316
2020-05-01,0.0,0.08154553
2020-06-01,0.0,0.08154553
2020-07-01,0.0,0.08154553
2020-08-01,0.0,0.08154553
2020-09-01,0.0,0.08154553
2020-10-01,0.0,0.08154553
2020-11-01,0.0,0.08154553
2020-12-01,0.0,0.08154553
2021-01-01,0.0,0.08154553
2021-02-01,0.0,0.08154553
2021-03-01,0.0,0.08154553
2021-04-01,0.0,0.08605316
2021-05-01,0.0,0.08154553
2021-06-01,0.0,0.08154553
2021-07-01,0.0,0.08264205
2021-08-01,0.0,0.08154553
2021-09-01,0.0,0.08154553
2021-10-01,0.0,0.08154553
2021-11-01,0.0,0.08154553
2021-12-01,0.0,0.08154553
2022-01-01,0.0,0.08154553
2022-02-01,0.0,0.08154553
2022-03-01,0.0,0.08154553
2022-04-01,0.0,0.08605316
2022-05-01,5.958765343820761,0.08154553
2022-06-01,0.0,0.08154553
2022-07-01,0.0,0.08154553
2022-08-01,0.0,0.08154553
2022-09-01,0.0,0.08154553
2022-10-01,0.0,0.08154553
2022-11-01,0.0,0.08154553
2022-12-01,0.0,0.08154553
