date,y_true,y_pred
2017-01-01,0.0,1.8538773
2017-02-01,0.0,1.8538773
2017-03-01,0.0,1.8538773
2017-04-01,0.0,1.8538773
2017-05-01,0.0,1.8538773
2017-06-01,0.0,1.8538773
2017-07-01,0.0,1.8538773
2017-08-01,0.0,1.8538773
2017-09-01,0.0,2.140527
2017-10-01,0.0,2.0749457
2017-11-01,0.0,2.0749457
2017-12-01,0.0,2.140527
2018-01-01,0.0,1.8538773
2018-02-01,0.0,1.8538773
2018-03-01,0.0,1.8538773
2018-04-01,0.0,1.8538773
2018-05-01,0.0,1.8538773
2018-06-01,0.0,2.0137682
2018-07-01,0.0,1.8538773
2018-08-01,0.0,2.3004181
2018-09-01,0.0,2.3004181
2018-10-01,0.0,2.1214433
2018-11-01,0.0,1.8538773
2018-12-01,0.0,1.8538773
2019-01-01,0.0,1.8538773
2019-02-01,0.0,1.8538773
2019-03-01,0.0,1.8538773
2019-04-01,0.0,1.8538773
2019-05-01,0.0,1.8538773
2019-06-01,0.0,1.8538773
2019-07-01,0.0,1.8538773
2019-08-01,0.0,2.0137682
2019-09-01,0.0,2.140527
2019-10-01,0.0,2.0749457
2019-11-01,0.0,2.140527
2019-12-01,0.0,1.8538773
2020-01-01,0.0,1.8538773
2020-02-01,0.0,1.8538773
2020-03-01,0.0,3.2362235
2020-04-01,0.0,1.8538773
2020-05-01,0.0,1.8538773
2020-06-01,0.0,2.0137682
2020-07-01,0.0,1.8538773
2020-08-01,0.0,2.0148008
2020-09-01,0.0,2.140527
2020-10-01,0.0,2.0749457
2020-11-01,0.0,2.0749457
2020-12-01,0.0,2.140527
2021-01-01,0.0,1.9124535
2021-02-01,0.0,1.8538773
2021-03-01,0.0,1.8538773
2021-04-01,0.0,1.8538773
2021-05-01,0.0,1.8538773
2021-06-01,0.0,1.8538773
2021-07-01,0.0,2.0137682
2021-08-01,0.0,2.2813344
2021-09-01,0.0,2.0749457
2021-10-01,0.0,2.0749457
2021-11-01,0.0,1.8538773
2021-12-01,0.0,2.140527
2022-01-01,0.0,1.8538773
2022-02-01,0.0,1.8538773
2022-03-01,0.0,1.8538773
2022-04-01,0.0,1.8538773
2022-05-01,0.0,1.8538773
2022-06-01,0.0,2.0137682
2022-07-01,0.0,1.8538773
2022-08-01,0.0,1.8549099
2022-09-01,0.0,2.3004181
2022-10-01,0.0,2.140527
2022-11-01,0.0,1.8538773
2022-12-01,0.0,1.8538773
